name,description,tag1,tag2,tag3,difficulty,cat_text,baemin_category
토스트,토스트는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#baked,#everyday,3,빵 및 과자류,패스트푸드
트위스터,트위스터는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#western,#everyday,#classic,3,빵 및 과자류,패스트푸드
파운드케이크,파운드케이크는 버터와 설탕의 조화를 살린 달콤한 디저트입니다.,#western,#baked,#everyday,3,빵 및 과자류,카페-디저트
햄샌드위치,햄샌드위치는 햄을 채워 넣은 샌드위치입니다.,#western,#everyday,#classic,3,빵 및 과자류,패스트푸드
간자장,간자장은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#chinese,#everyday,#classic,3,면 및 만두류,중식
국수,국수는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#soup,#everyday,3,면 및 만두류,한식
냉면,냉면은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#noodle,#everyday,3,면 및 만두류,한식
떡국,떡국은 얇게 썬 떡을 맑은 육수에 끓여 간을 맞추고 달걀지단과 김가루를 곁들여 먹는 국물 요리입니다.,#korean,#soup,#seafood,3,면 및 만두류,한식
떡만두국,떡만두국은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#soup,#everyday,3,면 및 만두류,한식
라면,라면은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#noodle,#everyday,3,면 및 만두류,한식
오징어,오징어는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#seafood,3,밥류,한식
옥수수밥,옥수수밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
완두콩밥,완두콩밥은 밥에 완두콩을 넣어 고소하게 지은 요리입니다.,#korean,#rice,#veggie,3,밥류,한식
유부,유부는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#japanese,#rice,#everyday,3,밥류,돈까스-회
육회비빔밥,육회비빔밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#beef,3,밥류,한식
장어,장어는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
팥밥,팥밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
해물,해물은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
혼합잡곡밥,혼합잡곡밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
계란빵,계란빵은 반죽을 숙성해 구워낸 담백한 빵입니다.,#korean,#baked,#everyday,3,빵 및 과자류,카페-디저트
츄러스,츄러스는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#western,#everyday,#classic,3,빵 및 과자류,카페-디저트
피자,피자는 재료의 맛을 살려 간단히 즐기는 요리입니다.,"#western,pizza",#everyday,#classic,3,빵 및 과자류,피자
햄버거,햄버거는 햄을 넣어 즐기는 버거입니다.,#western,#pork,#everyday,3,빵 및 과자류,패스트푸드
호떡,호떡은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#ricecake,#everyday,4,빵 및 과자류,카페-디저트
감자샐러드,감자샐러드는 감자를 주재료로 드레싱과 함께 버무린 샐러드입니다.,#western,#veggie,#everyday,1,빵 및 과자류,패스트푸드
고기,고기는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#western,#beef,#everyday,3,빵 및 과자류,패스트푸드
메기,메기는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#soup,#spicy,3,찌개 및 전골류,한식
회덮밥,회덮밥은 밥 위에 회를 얹어 비벼 먹는 한 그릇 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
흑미밥,흑미밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
강낭콩밥,강낭콩밥은 밥에 강낭콩을 넣어 고소하게 지은 요리입니다.,#korean,#rice,#veggie,3,밥류,한식
검정콩밥,검정콩밥은 밥에 검정콩을 넣어 고소하게 지은 요리입니다.,#korean,#rice,#veggie,3,밥류,한식
굴,굴은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#soup,#seafood,3,밥류,한식
굴밥,굴밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#seafood,3,밥류,한식
김치,김치는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#stirfry,#spicy,2,밥류,한식
낙지,낙지는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#seafood,3,밥류,한식
닭고기,닭고기는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#chicken,3,밥류,한식
돼지머리국밥,돼지머리국밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#soup,#pork,3,밥류,한식
모듬,모듬은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
무밥,무밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
버섯,버섯은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#veggie,3,밥류,한식
비빔,비빔은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
양송이,양송이는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
열무,열무는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
잡곡밥,잡곡밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
잡채밥,잡채밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
잡탕밥,잡탕밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#soup,#everyday,3,밥류,한식
주먹밥,주먹밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,2,밥류,한식
짜장밥,짜장밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#chinese,#rice,#everyday,3,밥류,중식
짬뽕밥,짬뽕밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#chinese,#rice,#everyday,3,밥류,중식
차조밥,차조밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,카페-디저트
참치덮밥,참치덮밥은 밥 위에 참치를 얹어 비벼 먹는 한 그릇 요리입니다.,#japanese,#rice,#everyday,3,밥류,한식
참치회덮밥,참치회덮밥은 밥 위에 참치회를 얹어 비벼 먹는 한 그릇 요리입니다.,#korean,#rice,#spicy,3,밥류,한식
충무김밥,충무김밥은 밥과 여러 재료를 김으로 말아 한입 크기로 썬 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
카레라이스,카레라이스는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#japanese,#pork,#everyday,3,밥류,돈까스-회
콩나물,콩나물은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#soup,#veggie,2,밥류,한식
콩나물밥,콩나물밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#pork,2,밥류,한식
현미밥,현미밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
볶음밥,볶음밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#stirfry,#everyday,2,밥류,중식
비빔밥,비빔밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
삼각김밥,삼각김밥은 밥과 여러 재료를 김으로 말아 한입 크기로 썬 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
수수밥,수수밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
알밥,알밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
영양돌솥밥,영양돌솥밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
오곡밥,오곡밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
오므라이스,오므라이스는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#everyday,#classic,3,밥류,한식
우럭회덮밥,우럭회덮밥은 밥 위에 우럭회를 얹어 비벼 먹는 한 그릇 요리입니다.,#korean,#rice,#spicy,3,밥류,한식
율무밥,율무밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
김밥,김밥은 밥과 여러 재료를 김으로 말아 한입 크기로 썬 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
넙치,넙치는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#spicy,3,밥류,한식
누룽지,누룽지는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#everyday,#classic,3,밥류,한식
돌솥,돌솥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
묵밥,묵밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
보리밥,보리밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
커피,커피는 얼음과 함께 상큼하게 즐기는 음료입니다.,#korean,#everyday,#classic,3,음료 및 차류,카페-디저트
고구마,고구마는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#veggie,#everyday,3,,한식
팝콘,팝콘은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#everyday,#classic,3,,한식
달걀,달걀은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#everyday,#classic,3,수·조·어·육류,한식
구포,구포는 얇은 쌀면을 맑은 육수에 담아 허브와 함께 먹는 베트남식 면 요리입니다.,#korean,#everyday,#classic,3,수·조·어·육류,한식
계란,계란은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
곤드레밥,곤드레밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
기장밥,기장밥은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,밥류,한식
과ㆍ채주스,과ㆍ채주스는 얼음과 함께 상큼하게 즐기는 음료입니다.,#korean,#everyday,#classic,3,음료 및 차류,카페-디저트
라떼,라떼는 얼음과 함께 상큼하게 즐기는 음료입니다.,#korean,#everyday,#classic,3,음료 및 차류,카페-디저트
레몬청차,레몬청차는 얼음과 함께 상큼하게 즐기는 음료입니다.,#korean,#everyday,#classic,3,음료 및 차류,카페-디저트
밀크티,밀크티는 얼음과 함께 상큼하게 즐기는 음료입니다.,#korean,#everyday,#classic,3,음료 및 차류,카페-디저트
식혜,식혜는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#everyday,#classic,3,음료 및 차류,카페-디저트
액상커피,액상커피는 얼음과 함께 상큼하게 즐기는 음료입니다.,#korean,#soup,#sweet,3,음료 및 차류,카페-디저트
게장,게장은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#spicy,#everyday,3,젓갈류,한식
명란젓,명란젓은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#spicy,#everyday,3,젓갈류,한식
조개젓,조개젓은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#seafood,#spicy,3,젓갈류,한식
고추장아찌,고추장아찌는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#pickled,#spicy,4,장아찌·절임류,한식
마늘쫑장아찌,마늘쫑장아찌는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#pickled,#everyday,4,장아찌·절임류,한식
매실장아찌,매실장아찌는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#pickled,#everyday,4,장아찌·절임류,한식
무장아찌,무장아찌는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#pickled,#everyday,4,장아찌·절임류,한식
오이지,오이지는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#everyday,#classic,3,장아찌·절임류,한식
스,스는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#rice,#everyday,3,"장류, 양념류",한식
카레,카레는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#indian,#everyday,#classic,3,"장류, 양념류",한식
밀크쉐이크,밀크쉐이크는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#everyday,#classic,3,유제품류 및 빙과류,카페-디저트
빙수,빙수는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#ricecake,#everyday,3,유제품류 및 빙과류,카페-디저트
크림_아이스,크림_아이스는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#western,#dessert,#everyday,3,유제품류 및 빙과류,카페-디저트
우유,우유는 얼음과 함께 상큼하게 즐기는 음료입니다.,#korean,#everyday,#classic,3,유제품류 및 빙과류,한식
동치미,동치미는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#everyday,#classic,3,김치류,한식
배추김치,배추김치는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#fermented,#spicy,4,김치류,한식
백김치,백김치는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#fermented,#spicy,4,김치류,한식
부추김치,부추김치는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#fermented,#veggie,4,김치류,한식
얼갈이배추김치,얼갈이배추김치는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#fermented,#spicy,4,김치류,한식
열무김치,열무김치는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#fermented,#spicy,4,김치류,한식
열무물김치,열무물김치는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#fermented,#spicy,4,김치류,한식
열무얼갈이김치,열무얼갈이김치는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#fermented,#spicy,4,김치류,한식
오이,오이는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#everyday,#classic,3,김치류,한식
유채김치,유채김치는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#fermented,#spicy,4,김치류,한식
유채물김치,유채물김치는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#fermented,#spicy,4,김치류,한식
총각김치,총각김치는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#fermented,#spicy,4,김치류,한식
파김치,파김치는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#fermented,#spicy,4,김치류,한식
물만두,물만두는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#everyday,#classic,4,면 및 만두류,한식
밴댕이무침,밴댕이무침은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#salad,#everyday,1,생채·무침류,한식
부추무침,부추무침은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#salad,#veggie,1,생채·무침류,한식
상추,상추는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#everyday,#classic,1,생채·무침류,한식
샐러드,샐러드는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#everyday,#classic,1,생채·무침류,한식
쑥갓나물무침,쑥갓나물무침은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#salad,#veggie,1,생채·무침류,한식
오이생채,오이생채는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#everyday,#classic,3,생채·무침류,한식
탕평채,탕평채는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#soup,#everyday,3,생채·무침류,한식
파무침,파무침은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#salad,#everyday,1,생채·무침류,한식
홍어무침,홍어무침은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#salad,#everyday,1,생채·무침류,한식
회무침,회무침은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#salad,#everyday,1,생채·무침류,한식
갓김치,갓김치는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#fermented,#spicy,4,김치류,한식
고들빼기김치,고들빼기김치는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#fermented,#spicy,4,김치류,한식
깍두기,깍두기는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#everyday,#classic,3,김치류,한식
깻잎김치,깻잎김치는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#fermented,#spicy,4,김치류,한식
물냉면,물냉면은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#noodle,#everyday,3,면 및 만두류,한식
미나리나물,미나리나물은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#veggie,#everyday,2,나물·숙채류,한식
세발나물무침,세발나물무침은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#salad,#veggie,1,나물·숙채류,한식
우거지나물무침,우거지나물무침은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#salad,#veggie,1,나물·숙채류,한식
취나물무침,취나물무침은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#salad,#veggie,1,나물·숙채류,한식
골뱅이무침,골뱅이무침은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#salad,#everyday,1,생채·무침류,한식
냉채,냉채는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#everyday,#classic,3,생채·무침류,한식
노각무침,노각무침은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#salad,#everyday,1,생채·무침류,한식
단무지무침,단무지무침은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#salad,#everyday,1,생채·무침류,한식
달래무침,달래무침은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#salad,#everyday,1,생채·무침류,한식
더덕무침,더덕무침은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#salad,#everyday,1,생채·무침류,한식
도라지생채,도라지생채는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#everyday,#classic,3,생채·무침류,한식
무말랭이무침,무말랭이무침은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#salad,#everyday,1,생채·무침류,한식
묵무침,묵무침은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#salad,#everyday,1,생채·무침류,한식
물회,물회는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#raw,#everyday,3,생채·무침류,한식
미역초무침,미역초무침은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#salad,#veggie,1,생채·무침류,한식
배추,배추는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#everyday,#classic,1,생채·무침류,한식
라조기,라조기는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#chinese,#everyday,#classic,3,튀김류,분식
멘보샤,멘보샤는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#everyday,#classic,3,튀김류,중식
미꾸라지튀김,미꾸라지튀김은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#fried,#everyday,3,튀김류,한식
복어튀김,복어튀김은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#fried,#everyday,3,튀김류,한식
북어강정,북어강정은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#fried,#spicy,3,튀김류,한식
생선까스,생선까스는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#everyday,#classic,3,튀김류,한식
양파링튀김,양파링튀김은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#fried,#everyday,3,튀김류,한식
쥐포튀김,쥐포튀김은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#fried,#everyday,3,튀김류,한식
치즈볼,치즈볼은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#everyday,#classic,3,튀김류,한식
치즈스틱,치즈스틱은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#everyday,#classic,3,튀김류,패스트푸드
치킨가스,치킨가스는 재료의 맛을 살려 간단히 즐기는 요리입니다.,"#korean,chicken",#chicken,#everyday,3,튀김류,치킨
탕수육,탕수육은 고기를 튀겨 새콤달콤한 소스를 끼얹어 먹는 중식 요리입니다.,#chinese,#soup,#pork,3,튀김류,중식
난자완스,난자완스는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#indian,#everyday,#classic,3,튀김류,한식
고구마줄기나물,고구마줄기나물은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#veggie,#everyday,2,나물·숙채류,한식
깻잎나물,깻잎나물은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#veggie,#everyday,2,나물·숙채류,한식
깻잎나물볶음,깻잎나물볶음은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#stirfry,#veggie,2,나물·숙채류,한식
머위나물무침,머위나물무침은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#salad,#veggie,1,나물·숙채류,한식
김말이튀김,김말이튀김은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#fried,#everyday,3,튀김류,한식
깐풍새우,깐풍새우는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#chinese,#seafood,#everyday,3,튀김류,한식
닭모래집튀김,닭모래집튀김은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#fried,#chicken,3,튀김류,한식
닭튀김,닭튀김은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#fried,#chicken,3,튀김류,한식
돈가스,돈가스는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#everyday,#classic,3,튀김류,돈까스-회
모밀국수,모밀국수는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#soup,#everyday,3,면 및 만두류,한식
주꾸미삼겹살,주꾸미삼겹살은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#pork,#seafood,3,볶음류,한식
해물볶음,해물볶음은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#stirfry,#everyday,2,볶음류,한식
가자미조림,가자미조림은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#braised,#everyday,3,조림류,한식
고등어조림,고등어조림은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#braised,#seafood,3,조림류,한식
고추조림,고추조림은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#braised,#spicy,3,조림류,한식
닭볶음탕,닭볶음탕은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#stirfry,#chicken,2,조림류,한식
동태조림,동태조림은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#braised,#seafood,3,조림류,한식
북어조림,북어조림은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#braised,#everyday,3,조림류,한식
연근조림,연근조림은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#braised,#everyday,3,조림류,한식
장조림,장조림은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#braised,#pork,3,조림류,한식
조기조림,조기조림은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#braised,#everyday,3,조림류,한식
콩조림,콩조림은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#braised,#veggie,3,조림류,한식
감자튀김,감자튀김은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#fried,#veggie,3,튀김류,한식
고구마맛탕,고구마맛탕은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#soup,#veggie,3,튀김류,한식
고구마튀김,고구마튀김은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#fried,#veggie,3,튀김류,한식
고추튀김,고추튀김은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#fried,#spicy,3,튀김류,한식
만두탕수,만두탕수는 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#soup,#everyday,3,면 및 만두류,한식
멸치볶음,멸치볶음은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#stirfry,#seafood,2,볶음류,한식
미역줄기볶음,미역줄기볶음은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#stirfry,#veggie,2,볶음류,한식
버섯볶음,버섯볶음은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#stirfry,#veggie,2,볶음류,한식
고기볶음,고기볶음은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#stirfry,#beef,2,볶음류,카페-디저트
시지볶음,시지볶음은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#western,#stirfry,#everyday,2,볶음류,양식
순,순은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#stirfry,#spicy,2,볶음류,한식
오징어볶음,오징어볶음은 오징어와 채소를 매콤하게 볶아 만든 요리입니다.,#korean,#stirfry,#seafood,2,볶음류,한식
오징어채볶음,오징어채볶음은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#stirfry,#seafood,2,볶음류,한식
잔멸치볶음,잔멸치볶음은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#stirfry,#seafood,2,볶음류,한식
잡채,잡채는 당면에 채소와 고기를 간장 양념으로 볶아 버무린 요리입니다.,#korean,#beef,#veggie,3,볶음류,한식
주꾸미볶음,주꾸미볶음은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#stirfry,#seafood,2,볶음류,한식
곱창볶음,곱창볶음은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#stirfry,#pork,2,볶음류,한식
김치볶음,김치볶음은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#stirfry,#spicy,2,볶음류,한식
느타리버섯볶음,느타리버섯볶음은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#stirfry,#veggie,2,볶음류,한식
닭모래집볶음,닭모래집볶음은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#stirfry,#chicken,2,볶음류,한식
닭볶음,닭볶음은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#stirfry,#beef,2,볶음류,한식
돼지고기볶음,돼지고기볶음은 재료의 맛을 살려 간단히 즐기는 요리입니다.,#korean,#stirfry,#pork,2,볶음류,한식
